HSS_start,HSS_stop
2016-12-28 00:38:00,2016-12-28 11:30:00
2019-08-01 01:03:00,2019-08-01 23:59:00
2017-12-17 20:05:00,2017-12-17 21:15:00
2017-12-17 23:36:00,2017-12-18 00:48:00
2017-12-18 10:13:00,2017-12-18 23:59:00
2017-07-22 00:30:00,2017-07-22 05:42:00
2017-07-22 05:46:00,2017-07-22 08:11:00
2017-07-22 10:04:00,2017-07-22 13:14:00
2017-07-22 14:29:00,2017-07-23 11:58:00
2017-07-23 12:01:00,2017-07-23 23:59:00
2023-10-13 22:47:00,2023-10-15 04:40:00
2013-05-09 00:34:00,2013-05-09 22:50:00
2020-02-22 00:37:00,2020-02-22 06:02:00
2020-02-22 06:14:00,2020-02-23 03:36:00
2021-05-12 19:19:00,2021-05-12 20:28:00
2021-05-12 21:25:00,2021-05-12 23:59:00
2023-09-15 10:08:00,2023-09-15 11:17:00
2023-09-15 14:28:00,2023-09-15 16:01:00
2023-05-20 13:43:00,2023-05-20 23:59:00
2018-11-06 00:41:00,2018-11-06 11:27:00
2018-11-06 11:31:00,2018-11-06 16:16:00
2018-11-08 08:59:00,2018-11-08 10:15:00
2018-11-08 10:29:00,2018-11-08 18:21:00
2018-11-08 18:23:00,2018-11-08 20:15:00
2018-11-08 21:44:00,2018-11-08 22:51:00
2016-01-09 00:34:00,2016-01-09 03:34:00
2020-04-22 01:30:00,2020-04-22 03:58:00
2020-04-22 07:41:00,2020-04-22 10:06:00
2012-08-16 11:21:00,2012-08-16 13:10:00
2012-08-16 15:27:00,2012-08-16 16:33:00
2012-08-16 23:54:00,2012-08-17 03:56:00
2017-03-28 00:23:00,2017-03-28 23:59:00
2013-04-11 17:04:00,2013-04-11 23:59:00
2021-11-04 10:48:00,2021-11-05 04:53:00
2021-11-05 07:56:00,2021-11-05 12:28:00
2021-11-05 14:49:00,2021-11-05 16:16:00
2021-11-05 18:53:00,2021-11-05 21:17:00
2015-11-11 00:36:00,2015-11-12 19:00:00
2022-12-23 01:25:00,2022-12-23 02:29:00
2022-12-23 18:07:00,2022-12-24 23:59:00
2017-08-21 00:34:00,2017-08-21 21:45:00
2017-08-21 22:34:00,2017-08-21 23:54:00
2017-08-22 07:11:00,2017-08-22 15:33:00
2023-04-19 00:39:00,2023-04-19 09:41:00
2023-04-19 09:44:00,2023-04-19 12:38:00
2023-04-19 17:28:00,2023-04-19 20:11:00
2019-03-06 12:45:00,2019-03-06 13:51:00
2023-03-21 14:15:00,2023-03-22 19:56:00
2013-09-04 08:02:00,2013-09-04 15:01:00
2013-09-04 16:45:00,2013-09-04 19:36:00
2013-09-05 06:34:00,2013-09-05 09:59:00
2022-01-02 00:34:00,2022-01-02 16:56:00
2022-01-02 18:05:00,2022-01-02 21:46:00
2022-01-02 23:04:00,2022-01-03 00:16:00
2022-01-03 02:35:00,2022-01-03 09:15:00
2022-01-03 09:58:00,2022-01-03 12:33:00
2022-01-03 12:41:00,2022-01-03 23:59:00
2015-07-15 00:38:00,2015-07-15 12:51:00
2015-07-15 12:53:00,2015-07-16 23:59:00
2012-06-18 16:32:00,2012-06-18 18:14:00
2012-06-18 18:45:00,2012-06-18 20:01:00
2012-06-18 22:54:00,2012-06-19 07:48:00
2022-06-28 00:37:00,2022-06-28 03:53:00
2022-06-28 03:57:00,2022-06-29 05:41:00
2022-06-29 05:43:00,2022-06-29 06:46:00
2022-06-29 07:22:00,2022-06-29 13:48:00
2022-06-29 13:56:00,2022-06-29 16:22:00
2019-01-05 11:34:00,2019-01-06 00:04:00
2019-01-06 00:06:00,2019-01-06 01:08:00
2019-01-06 01:10:00,2019-01-06 04:27:00
2019-01-06 04:32:00,2019-01-06 23:59:00
2019-10-27 00:38:00,2019-10-28 20:15:00
2019-10-28 20:17:00,2019-10-28 21:43:00
2023-06-17 00:36:00,2023-06-18 06:18:00
2015-06-15 00:35:00,2015-06-16 00:22:00
2015-06-16 00:26:00,2015-06-16 01:31:00
2015-06-16 02:10:00,2015-06-16 06:53:00
2015-06-16 08:37:00,2015-06-16 15:53:00
2015-06-16 16:06:00,2015-06-16 19:44:00
2015-06-16 19:47:00,2015-06-16 21:16:00
2015-06-17 05:54:00,2015-06-17 09:57:00
2015-06-17 11:24:00,2015-06-17 13:54:00
2015-06-17 15:41:00,2015-06-17 18:06:00
2017-09-19 00:41:00,2017-09-20 07:49:00
2017-09-20 08:00:00,2017-09-20 11:30:00
2017-09-20 11:49:00,2017-09-20 13:04:00
2012-07-18 02:36:00,2012-07-18 08:07:00
2012-07-18 08:16:00,2012-07-18 11:25:00
2012-07-18 11:37:00,2012-07-18 13:00:00
2022-01-31 00:35:00,2022-01-31 04:12:00
2022-01-31 05:14:00,2022-01-31 06:18:00
2022-01-31 08:35:00,2022-01-31 12:54:00
2022-01-31 14:18:00,2022-01-31 17:18:00
2020-03-23 11:20:00,2020-03-23 12:34:00
2020-03-23 17:24:00,2020-03-23 18:58:00
2020-03-23 20:06:00,2020-03-23 22:54:00
2020-03-24 01:32:00,2020-03-24 08:10:00
2020-03-24 08:14:00,2020-03-24 12:25:00
2023-11-12 04:00:00,2023-11-12 06:01:00
2022-03-01 00:33:00,2022-03-01 05:19:00
2022-03-01 06:03:00,2022-03-02 14:59:00
2015-09-12 00:35:00,2015-09-13 04:48:00
2016-09-02 03:05:00,2016-09-02 07:15:00
2016-09-02 07:38:00,2016-09-02 11:06:00
2016-09-02 11:09:00,2016-09-02 13:18:00
2016-09-02 13:53:00,2016-09-02 15:14:00
2016-09-02 15:25:00,2016-09-02 23:59:00
2015-04-18 00:38:00,2015-04-18 11:13:00
2015-04-18 17:33:00,2015-04-19 04:27:00
2012-11-14 22:38:00,2012-11-14 23:59:00
2012-10-15 00:37:00,2012-10-15 13:10:00
2018-03-17 03:30:00,2018-03-17 08:57:00
2018-03-17 09:13:00,2018-03-17 16:27:00
2018-03-17 22:49:00,2018-03-18 00:25:00
2018-03-18 00:29:00,2018-03-18 12:30:00
2018-03-18 22:41:00,2018-03-18 23:59:00
2016-03-08 00:33:00,2016-03-08 06:39:00
2016-03-08 06:45:00,2016-03-08 10:34:00
2016-03-08 11:47:00,2016-03-08 14:00:00
2022-03-31 12:52:00,2022-03-31 13:52:00
2022-03-31 17:40:00,2022-03-31 18:53:00
2022-04-01 01:40:00,2022-04-01 06:01:00
2022-04-01 08:39:00,2022-04-01 10:51:00
2022-04-01 15:28:00,2022-04-01 16:28:00
2022-04-01 20:44:00,2022-04-01 22:16:00
2022-04-02 00:06:00,2022-04-02 01:46:00
2022-04-02 03:36:00,2022-04-02 23:59:00
2017-02-25 00:38:00,2017-02-26 02:01:00
2021-12-04 02:01:00,2021-12-04 03:24:00
2021-12-04 03:33:00,2021-12-04 14:53:00
2021-12-04 16:33:00,2021-12-04 19:15:00
2015-03-20 00:37:00,2015-03-20 23:59:00
2016-10-29 05:09:00,2016-10-29 06:27:00
2016-10-29 11:13:00,2016-10-29 13:19:00
2016-10-29 15:58:00,2016-10-31 23:59:00
2016-08-03 13:15:00,2016-08-03 18:28:00
2016-08-03 18:43:00,2016-08-03 23:59:00
2019-09-28 00:30:00,2019-09-29 23:59:00
2017-04-25 00:31:00,2017-04-27 09:05:00
2023-01-21 09:55:00,2023-01-21 19:27:00
2015-12-10 12:18:00,2015-12-10 14:41:00
2015-12-10 18:07:00,2015-12-10 19:24:00
2015-12-10 20:53:00,2015-12-10 22:08:00
2015-12-10 22:58:00,2015-12-12 23:59:00
2021-03-14 04:02:00,2021-03-14 06:56:00
2021-03-14 06:58:00,2021-03-14 14:18:00
2021-03-14 14:20:00,2021-03-14 16:29:00
2021-03-14 16:54:00,2021-03-14 23:59:00
2019-04-04 22:36:00,2019-04-04 23:58:00
2019-04-05 08:51:00,2019-04-05 20:10:00
2019-04-05 20:13:00,2019-04-05 22:24:00
2019-04-06 00:15:00,2019-04-06 14:20:00
2019-04-06 14:26:00,2019-04-06 16:59:00
2019-08-31 13:36:00,2019-08-31 23:59:00
2016-11-28 00:35:00,2016-11-28 09:35:00
2016-11-29 00:56:00,2016-11-29 03:04:00
2012-01-24 22:55:00,2012-01-24 23:59:00
2012-02-21 00:38:00,2012-02-21 05:29:00
2012-02-21 05:33:00,2012-02-21 08:18:00
2012-02-21 08:22:00,2012-02-21 13:52:00
2012-02-22 13:00:00,2012-02-22 14:43:00
2012-02-22 15:21:00,2012-02-22 17:46:00
2012-02-22 17:50:00,2012-02-22 23:59:00
2018-10-08 11:40:00,2018-10-08 14:59:00
2018-10-08 15:02:00,2018-10-09 01:19:00
2018-10-09 01:22:00,2018-10-09 23:59:00
2022-04-30 05:42:00,2022-04-30 06:48:00
2022-04-30 12:12:00,2022-04-30 13:50:00
2022-04-30 13:52:00,2022-04-30 16:35:00
2022-04-30 16:49:00,2022-05-01 02:35:00
2022-05-01 07:14:00,2022-05-01 08:59:00
2022-05-01 21:25:00,2022-05-01 23:59:00
2015-10-13 02:44:00,2015-10-13 18:37:00
2017-11-17 01:04:00,2017-11-17 02:05:00
2017-01-27 06:10:00,2017-01-27 08:02:00
2017-01-27 08:16:00,2017-01-28 01:24:00
2017-01-28 09:05:00,2017-01-28 13:23:00
2017-01-28 13:35:00,2017-01-28 17:09:00
2014-01-01 18:26:00,2014-01-01 19:32:00
2014-01-02 08:19:00,2014-01-02 16:20:00
2014-01-02 20:43:00,2014-01-05 00:25:00
2014-01-05 00:27:00,2014-01-05 04:07:00
2014-01-05 04:12:00,2014-01-05 08:25:00
2014-01-05 08:56:00,2014-01-05 10:31:00
2014-01-12 06:44:00,2014-01-12 23:59:00
2018-07-13 05:22:00,2018-07-13 10:20:00
2018-07-13 16:59:00,2018-07-13 19:19:00
2018-07-13 19:23:00,2018-07-13 23:59:00
2022-05-29 00:31:00,2022-05-29 04:02:00
2022-05-29 04:05:00,2022-05-29 06:46:00
2022-05-29 06:57:00,2022-05-29 09:06:00
2022-05-29 09:14:00,2022-05-31 23:59:00
2019-02-04 00:32:00,2019-02-04 04:19:00
2018-12-07 18:00:00,2018-12-07 19:19:00
2018-12-08 04:00:00,2018-12-08 17:21:00
2018-12-08 18:26:00,2018-12-08 23:59:00
2019-05-04 12:46:00,2019-05-04 14:43:00
2019-05-04 15:06:00,2019-05-05 02:27:00
2019-05-05 03:43:00,2019-05-05 05:42:00
2016-09-30 00:40:00,2016-10-01 18:29:00
2016-10-01 18:31:00,2016-10-01 23:59:00
2022-10-24 02:30:00,2022-10-25 00:54:00
2013-08-06 00:33:00,2013-08-06 08:05:00
2013-08-06 11:20:00,2013-08-06 12:46:00
2013-08-09 20:48:00,2013-08-09 23:59:00
